Tabla,attribute,Llama,CorrectLlama,GPT,CorrectGPT,TeoricalCorrect
microbiologyevents,ab_itemid,Observation.component.code.coding.code,YES,Observation.component.code.coding.code,YES,Observation.component.code.coding.code
microbiologyevents,ab_name,Observation.component.code.coding.display,YES,Observation.component.code.coding.display,YES,Observation.component.code.coding.display
d_items,abbreviation,Observation.code.coding.display,YES,observation.code.coding.display,YES,observation.code.coding
admissions,admission_location,Encounter.admission.origin.reference,NO,Encounter.admission.admitsource,YES,Encounter.admission.admitsource
admissions,admission_type,Encounter.admission,NO,Encounter.admission.admitSource,NO,Encounter.admission.admitSource
admissions,admittime,Encounter.period.start,NO,Encounter.admission.origin.period.start,YES,Encounter.admission.origin.period.start
inputevents,amount,MedicationAdministration.dosage.dose.quantity.value,YES,MedicationAdministration.dosage.dose.value,YES,MedicationAdministration.dosage.dose.value
inputevents,amountuom,MedicationAdministration.dosage.dose.quantity.unit,YES,MedicationAdministration.dosage.dose.unit,YES,MedicationAdministration.dosage.dose.unit
patients,anchor_age,Patient.birthDate,YES,Patient.birthDate,YES,Patient.birthDate
patients,anchor_year,Patient.birthDate,NO,Patient.birthDate,NO,No direct mapping
patients,anchor_year_group,Patient.extension,NO,Patient.link,NO,No direct mapping
pharmacy,basal_rate,MedicationDispense.dosageInstruction.rateQuantity,NO,MedicationDispense.dosageinstruction.doseAndRate,YES,MedicationDispense.dosageinstruction.doseAndRate
transfers,careunit,Encounter.location.form.text,YES,Encounter.location.form,YES,Encounter.location.form
d_items,category,Observation.category.coding.code,YES,Observation.category.coding.display,NO,Observation.category.text
microbiologyevents,chartdate,Observation.effectiveDateTime,YES,Observation.effectivedatetime,YES,Observation.effectivedatetime
outputevents,charttime,Observation.effectiveDateTime,YES,Observation.effectivedatetime,YES,Observation.effectivedatetime
procedureevents,comments_date,Procedure.note.time,YES,Procedure.note,YES,Procedure.note
d_items,component_unitname,No mapea,NO,No mapea,NO,Observation.component.code.text
services,curr_service,Encounter.class,NO,Encounter.serviceProvider,NO,Encounter.admission.destination
admissions,deathtime,Encounter.extension.valuedatetime,NO,Encounter.admission.destination.period.end,YES,Encounter.admission.destination.period.end
microbiologyevents,dilution_comparison,Observation.component.valueString,YES,Observation.component.valuestring,YES,Observation.component.valuestring
microbiologyevents,dilution_text,Observation.component.code.coding.display,NO,Observation.component.valuestring,YES,Observation.component.valuestring
microbiologyevents,dilution_value,Observation.component.valueQuantity.value,YES,Observation.component.valuequantity.value,YES,Observation.component.valuequantity.value
admissions,discharge_location,Encounter.admission.destination.reference,NO,Encounter.admission.dischargedisposition,YES,Encounter.admission.dischargedisposition
admissions,dischtime,Encounter.period.end,NO,Encounter.admission.destination.period.end,YES,Encounter.admission.destination.period.end
pharmacy,disp_sched,MedicationDispense.dosageInstruction.timing.event,YES,MedicationDispense.dosageInstruction.timing,YES,MedicationDispense.dosageinstruction.timing
patients,dod,Patient.deceasedDateTime,YES,Patient.deceasedDateTime,YES,patient.deceasedDateTime
prescriptions,dose_unit_rx,MedicationRequest.dosageInstruction.doseAndRate.doseQuantity.unit,YES,MedicationRequest.dosageInstruction,YES,MedicationRequest.dosageinstruction.doseAndRate
prescriptions,dose_val_rx,MedicationRequest.dosageInstruction.doseAndRate.doseQuantity.value,YES,MedicationRequest.dosageinstruction.doseAndRate,YES,MedicationRequest.dosageinstruction.doseAndRate
pharmacy,doses_per_24_hrs,MedicationDispense.quantity.value,NO,MedicationDispense.dosageinstruction.timing,YES,MedicationDispense.dosageinstruction.timing
prescriptions,drug,MedicationRequest.medication.codeableConcept.text,YES,MedicationRequest.medication,YES,MedicationRequest.medication
prescriptions,drug_name_generic,MedicationRequest.medication.codeableConcept.coding.code,YES,MedicationRequest.medication,YES,MedicationRequest.medication
prescriptions,drug_name_poe,MedicationRequest.medication.codeableConcept.coding.display,YES,MedicationRequest.medication,YES,MedicationRequest.medication
prescriptions,drug_type,MedicationRequest.category.coding.code,NO,MedicationRequest.medication,YES,MedicationRequest.medication
pharmacy,duration,No mapea,NO,MedicationDispense.dosageinstruction.timing,YES,MedicationDispense.dosageinstruction.timing
pharmacy,duration_interval,MedicationDispense.dosageInstruction.duration.unit,NO,MedicationDispense.dosageinstruction.timing,YES,MedicationDispense.dosageinstruction.timing.repeat.durationUnit
admissions,edouttime,Encounter.participant.period.end,NO,Encounter.location.period.end,YES,Encounter.location.period.end
admissions,edregtime,Encounter.participant.period.start,NO,Encounter.location.period.start,YES,Encounter.location.period.start
emar,emar_id,MedicationAdministration.identifier.value,YES,MedicationAdministration.identifier,YES,MedicationAdministration.identifier
emar,emar_seq,MedicationAdministration.identifier.extension.value,YES,MedicationAdministration.identifier,YES,MedicationAdministration.identifier
prescriptions,enddate,MedicationRequest.dispenseRequest.initialFill.duration.end,NO,MedicationRequest.dispenserequest.validityperiod,NO,MedicationRequest.effectiveDosePeriod.end
inputevents,endtime,MedicationAdministration.occurrencePeriod.end,YES,MedicationAdministration.occurencePeriod.end,YES,MedicationAdministration.occurencePeriod.end
admissions,ethnicity,Encounter.extension.valueCodeableConcept,NO,Encounter.extension,NO,Patient.extension
emar,event_txt,MedicationAdministration.statusReason.text,NO,MedicationAdministration.status,YES,MedicationAdministration.status
transfers,eventtype,Encounter.class.code,NO,Encounter.location.status,NO,Encounter.type
pharmacy,expiration_unit,MedicationDispense.substitution.type.codeableConcept.text,NO,MedicationDispense.dosageInstruction,YES,MedicationAdministration.dosageInstruction.timing.durationUnit
pharmacy,expiration_value,MedicationDispense.substitution.wasSubstituted,NO,MedicationDispense.dosageinstruction.timing,YES,MedicationAdministration.dosageInstruction.timing.durationMax
pharmacy,fill_quantity,MedicationDispense.quantity.value,YES,MedicationDispense.quantity,YES,MedicationDispense.quantity
icustays,first_careunit,Encounter.location.location.display,YES,Encounter.location.location,YES,Encounter.location.location
prescriptions,form_unit_disp,MedicationRequest.dispenseRequest.quantity.unit,YES,MedicationRequest.dosageInstruction,NO,MedicationRequest.dispenseRequest.quantity.unit
prescriptions,form_val_disp,MedicationRequest.dispenseRequest.quantity.value,YES,MedicationRequest.dosageInstruction,NO,MedicationRequest.dispenseRequest.quantity
prescriptions,formulary_drug_cd,MedicationRequest.medication.codeableConcept.coding.code,YES,MedicationRequest.medication,YES,MedicationRequest.medication
pharmacy,frequency,MedicationDispense.dosageInstruction.timing.code.text,YES,MedicationDispense.dosageinstruction.timing,YES,MedicationDispense.dosageinstruction.timing
patients,gender,Patient.gender,YES,Patient.gender,YES,Patient.gender
prescriptions,gsn,MedicationRequest.medication.codeableConcept.identifier.value,YES,MedicationRequest.identifier,NO,MedicationRequest.medication
admissions,hadm_id,Encounter.identifier.value,YES,Encounter.identifier,YES,Encounter.identifier
hcpsevents,hcpcs_cd,Encounter.type.coding.code,NO,Encounter.type,NO,Encounter.diagnosis
d_items,highnormalvalue,Observation.referenceRange.high.value,YES,observation.referenceRange.high,YES,observation.referenceRange.high
