Tabla,attribute,Llama,CorrectLlama,GPT,CorrectGPT,TeoricalCorrect
microbiologyevents,ab_itemid,Observation.component.code.coding.code,YES,Observation.component.code,YES,Observation.component.code.coding.code
microbiologyevents,ab_name,Observation.component.code.coding.display,YES,Observation.component.code,YES,Observation.component.code.coding.display
d_items,abbreviation,Observation.code.coding.display,YES,observation.code.coding.code,YES,observation.code.coding
admissions,admission_location,Encounter.extension,NO,Encounter.admission.origin,NO,Encounter.admission.admitsource
admissions,admission_type,Encounter.extension,NO,Encounter.admission.admitSource,YES,Encounter.admission.admitSource
admissions,admittime,Encounter.period.start,NO,Encounter.actualPeriod.start,NO,Encounter.admission.origin.period.start
inputevents,amount,MedicationAdministration.dosage.dose.value,YES,medicationadministration.dosage.dose,YES,MedicationAdministration.dosage.dose.value
inputevents,amountuom,MedicationAdministration.dosage.dose.unit,YES,medicationadministration.dosage.dose,YES,MedicationAdministration.dosage.dose.unit
patients,anchor_age,Patient.birthDate,NO,Patient.birthDate,NO,No direct mapping
patients,anchor_year_group,Patient.birthDate,NO,Patient.birthDate,NO,No direct mapping
pharmacy,basal_rate,MedicationDispense.dosageInstruction.doseAndRate.rateQuantity.value,NO,MedicationDispense.dosageInstruction.rate,NO,MedicationDispense.dosageinstruction.doseAndRate
procedureevents,cancelreason,Procedure.statusReason,NO,Procedure.statusReason,NO,No direct mapping
transfers,careunit,Encounter.location.physicalType,NO,Encounter.location.form,YES,Encounter.location.form
d_items,category,Observation.category.coding.code,YES,observation.category.text,YES,observation.category.text
microbiologyevents,chartdate,Observation.effectiveDateTime,YES,Observation.effectiveDateTime,YES,Observation.effectivedatetime
microbiologyevents,charttime,Observation.effectiveDateTime,YES,Observation.effectiveDateTime,YES,Observation.effectiveDateTime
procedureevents,comments_date,Procedure.note.time,YES,Procedure.note,NO,Procedure.note
d_items,component_unitname,No mapea,NO,No mapea,NO,Observation.component.code.text
services,curr_service,Encounter.extension,NO,Encounter.serviceProvider,NO,Encounter.admission.destination
admissions,deathtime,Encounter.extension,NO,Encounter.status,NO,Encounter.admission.destination.period.end
microbiologyevents,dilution_comparison,Observation.component.valueString,YES,Observation.component.valueString,YES,Observation.component.valuestring
microbiologyevents,dilution_text,Observation.component.valueString,YES,Observation.component.valueString,YES,Observation.component.valuestring
