Tabla,attribute,Llama,CorrectLlama,GPT,CorrectGPT,TeoricalCorrect
microbiologyevents,ab_itemid,Observation.value,NO,Observation.component.code,YES,Observation.component.code.coding.code
microbiologyevents,ab_name,Observation.value,NO,Observation.component.code,YES,Observation.component.code.coding.display
d_items,abbreviation,Observation.code,YES,observation.code.coding.code,YES,observation.code.coding
admissions,admission_location,Encounter.admission.origin,NO,Encounter.admission.origin,NO,Encounter.admission.admitsource
admissions,admission_type,Encounter.admission.admitSource,YES,Encounter.admission.admitSource,YES,Encounter.admission.admitSource
admissions,admittime,Encounter.plannedStartDate,NO,Encounter.actualPeriod,NO,Encounter.admission.origin.period.start
inputevents,amount,medicationadministration.dosage.dose,YES,medicationadministration.dosage.dose,YES,MedicationAdministration.dosage.dose.value
inputevents,amountuom,No mapea,NO,medicationadministration.dosage.dose,YES,MedicationAdministration.dosage.dose.unit
patients,anchor_age,Patient.birthDate,NO,Patient.birthDate,NO,No direct mapping
patients,anchor_year_group,Patient.birthDate,NO,Patient.birthDate,NO,No direct mapping
pharmacy,basal_rate,MedicationDispense.dosageInstruction,YES,MedicationDispense.dosageInstruction,YES,MedicationDispense.dosageinstruction.doseAndRate
procedureevents,cancelreason,Procedure.statusReason,NO,Procedure.statusReason,NO,No direct mapping
transfers,careunit,Encounter.location.location,NO,Encounter.location.form,YES,Encounter.location.form
d_items,category,Observation.category,YES,observation.category,YES,observation.category.text
microbiologyevents,chartdate,Observation.effective,YES,Observation.effective,YES,Observation.effectivedatetime
emar,charttime,MedicationAdministration.occurence[x],YES,MedicationAdministration.occurence[x],YES,MedicationAdministration.occurencedatetime
procedureevents,comments_date,Procedure.note,YES,Procedure.note,YES,Procedure.note
d_items,component_unitname,No mapea,NO,observation.component.valueQuantity.unit,YES,observation.component.valueQuantity.unit
services,curr_service,Encounter.serviceType,NO,Encounter.serviceType,NO,Encounter.admission.destination
admissions,deathtime,Encounter.actualPeriod,NO,Encounter.admission.destination,YES,Encounter.admission.destination.period.end
microbiologyevents,dilution_comparison,Observation.value,NO,Observation.component.value,YES,Observation.component.valuestring
microbiologyevents,dilution_text,Observation.value,NO,Observation.component.value,YES,Observation.component.valuestring
microbiologyevents,dilution_value,Observation.value,NO,Observation.component.value,YES,Observation.component.valuequantity
admissions,discharge_location,Encounter.admission.destination,NO,Encounter.admission.destination,NO,Encounter.admission.dischargedisposition
admissions,dischtime,Encounter.plannedEndDate,NO,Encounter.actualPeriod,NO,Encounter.admission.destination.period.end
pharmacy,disp_sched,MedicationDispense.dosageInstruction,YES,MedicationDispense.dosageInstruction,YES,MedicationDispense.dosageinstruction.timing
patients,dod,Patient.deceased,YES,patient.deceased,YES,patient.deceasedDateTime
prescriptions,dose_unit_rx,MedicationRequest.dosageInstruction,YES,MedicationRequest.dosageInstruction,YES,MedicationRequest.dosageinstruction.doseAndRate
prescriptions,dose_val_rx,MedicationRequest.dosageInstruction,YES,MedicationRequest.dosageInstruction,YES,MedicationRequest.dosageinstruction.doseAndRate
pharmacy,doses_per_24_hrs,MedicationDispense.dosageInstruction,YES,MedicationDispense.dosageInstruction,YES,MedicationDispense.dosageinstruction.timing
prescriptions,drug,MedicationRequest.medication,YES,MedicationRequest.medication,YES,MedicationRequest.medication
prescriptions,drug_name_generic,MedicationRequest.medication,YES,MedicationRequest.medication,YES,MedicationRequest.medication
prescriptions,drug_name_poe,MedicationRequest.medication,YES,MedicationRequest.medication,YES,MedicationRequest.medication
prescriptions,drug_type,No mapea,NO,MedicationRequest.category,NO,MedicationRequest.medication
pharmacy,duration,MedicationDispense.dosageInstruction,YES,MedicationDispense.daysSupply,NO,MedicationDispense.dosageinstruction.timing
pharmacy,duration_interval,MedicationDispense.dosageInstruction,YES,MedicationDispense.dosageInstruction,YES,MedicationDispense.dosageinstruction.timing.repeat.durationUnit
