Tabla,attribute,Llama,CorrectLlama,GPT,CorrectGPT,TeoricalCorrect
admissions,subject_id,Encounter.subject.reference,YES,Encounter.subject,YES,Encounter.subject
admissions,hadm_id,Encounter.identifier.value,YES,Encounter.identifier,YES,Encounter.identifier
admissions,admittime,Encounter.period.start,NO,Encounter.admission.origin.period.start,YES,Encounter.admission.origin.period.start
admissions,dischtime,Encounter.period.end,NO,Encounter.admission.destination.period.end,YES,Encounter.admission.destination.period.end
admissions,deathtime,Encounter.extension.valuedatetime,NO,Encounter.admission.destination.period.end,YES,Encounter.admission.destination.period.end
admissions,admission_type,Encounter.admission,NO,Encounter.admission.admitSource,NO,Encounter.admission.admitSource
admissions,admission_location,Encounter.admission.origin.reference,NO,Encounter.admission.admitsource,YES,Encounter.admission.admitsource
admissions,discharge_location,Encounter.admission.destination.reference,NO,Encounter.admission.dischargedisposition,YES,Encounter.admission.dischargedisposition
admissions,insurance,Encounter.coverage.coveringParty.reference,NO,Encounter.account,YES,Encounter.account
admissions,language,Encounter.communication.language.coding,NO,Encounter.language,NO,Patient.language
admissions,marital_status,Encounter.extension.valueCodeableConcept,NO,Encounter.extension,NO,Patient.maritalStatus
admissions,ethnicity,Encounter.extension.valueCodeableConcept,NO,Encounter.extension,NO,No direct mapping
admissions,edregtime,Encounter.participant.period.start,NO,Encounter.location.period.start,YES,Encounter.location.period.start
admissions,edouttime,Encounter.participant.period.end,NO,Encounter.location.period.end,YES,Encounter.location.period.end
admissions,hospital_expire_flag,Encounter.deceasedBoolean,NO,Encounter.status,NO,No direct mapping

d_items,itemid,Observation.code,NO,observation.identifier,YES,observation.identifier
d_items,label,Observation.code.text,YES,observation.code.text,YES,observation.code.text
d_items,abbreviation,Observation.code.coding.display,YES,observation.code.coding.display,YES,observation.code.coding
d_items,linksto,Observation.derivedFrom.reference,NO,Observation.category.coding.code,NO,Observation.basedOn
d_items,category,Observation.category.coding.code,YES,Observation.category.coding.display,NO,Observation.category.text
d_items,unitname,Observation.valueQuantity.unit,YES,observation.valueQuantity.unit,YES,observation.valueQuantity.unit
d_items,param_type,Observation.value[x].type,YES,Observation.value[x],YES,Observation.value[x]
d_items,lownormalvalue,Observation.referenceRange.low.value,YES,observation.referenceRange.low,YES,observation.referenceRange.low
d_items,highnormalvalue,Observation.referenceRange.high.value,YES,observation.referenceRange.high,YES,observation.referenceRange.high
d_items,component_label,No mapea,NO,No mapea,NO,Observation.component.code.text
d_items,component_abbreviation,No mapea,NO,No mapea,NO,Observation.component.code.text
d_items,component_unitname,No mapea,NO,No mapea,NO,Observation.component.code.text
d_items,component_lownormalvalue,No mapea,NO,No mapea,NO,Observation.component.code.text
d_items,component_highnormalvalue,No mapea,NO,No mapea,NO,Observation.component.code.text

datetimeevents,subject,Observation.subject.reference,YES,Observation.subject.reference,YES,Observation.subject
datetimeevents,hadm_id,Observation.encounter.reference,YES,Observation.encounter,YES,Observation.encounter
datetimeevents,stay_id,Observation.encounter.reference,NO,Observation.encounter,NO,No direct mapping
datetimeevents,charttime,Observation.effectiveDateTime,YES,Observation.effectivedatetime,YES,Observation.effectivedatetime
datetimeevents,storetime,Observation.issued,YES,Observation.issued,YES,Observation.issued
datetimeevents,itemid,Observation.code.coding.code,YES,Observation.code.coding.code,YES,Observation.code.coding.code
datetimeevents,value,Observation.valueDateTime,YES,Observation.valuedatetime,YES,Observation.valuedatetime
datetimeevents,valueuom,Observation.valueDateTime,YES,Observation.valuecodeableconcept.text,NO,Observation.valuedatetime
datetimeevents,warning,Observation.interpretation.coding.code,NO,Observation.dataabsentreason.coding.code,NO,No direct mapping

diagnoses_icd,subject_id,Condition.subject.reference,YES,condition.subject,YES,condition.subject
diagnoses_icd,hadm_id,Condition.encounter.reference,YES,condition.encounter,YES,condition.encounter
diagnoses_icd,seq_num,Condition.extension.valueInteger,NO,condition.identifier,YES,condition.identifier
diagnoses_icd,icd_code,Condition.code.coding.code,YES,condition.code,YES,condition.code
diagnoses_icd,icd_version,Condition.code.coding.system,NO,condition.note,NO,No direct mapping

emar,subject_id,MedicationAdministration.subject.reference,YES,MedicationAdministration.subject,YES,MedicationAdministration.subject
emar,hadm_id,MedicationAdministration.encounter.reference,YES,MedicationAdministration.encounter,YES,MedicationAdministration.encounter
emar,emar_id,MedicationAdministration.identifier.value,YES,MedicationAdministration.identifier,YES,MedicationAdministration.identifier
emar,emar_seq,MedicationAdministration.identifier.extension.value,YES,MedicationAdministration.identifier,YES,MedicationAdministration.identifier
emar,poe_id,MedicationAdministration.basedOn.reference,NO,MedicationAdministration.request,NO,MedicationAdministration.partOf
emar,pharmacy_id,MedicationAdministration.supportingInformation.reference,NO,MedicationAdministration.device,NO,MedicationAdministration.medication.coding.code
emar,charttime,MedicationAdministration.occurrenceDateTime,YES,MedicationAdministration.occurencedatetime,YES,MedicationAdministration.occurencedatetime
emar,medication,MedicationAdministration.medication.codeableReference.code.text,YES,MedicationAdministration.medication,YES,MedicationAdministration.medication
emar,event_txt,MedicationAdministration.statusReason.text,NO,MedicationAdministration.status,YES,MedicationAdministration.status
emar,scheduletime,MedicationAdministration.occurrenceDateTime,YES,MedicationAdministration.occurencedatetime,YES,MedicationAdministration.occurencedatetime
emar,storetime,MedicationAdministration.recorded,YES,MedicationAdministration.recorded,YES,MedicationAdministration.recorded

hcpsevents,subject_id,Encounter.subject.reference,YES,Encounter.subject,YES,Encounter.subject
hcpsevents,hadm_id,Encounter.identifier.value,YES,Encounter.identifier,YES,Encounter.identifier
hcpsevents,hcpcs_cd,Encounter.type.coding.code,NO,Encounter.type,NO,Encounter.diagnosis
hcpsevents,seq_num,Encounter.extension.sequenceNumber.value,NO,Encounter.diagnosis.rank,YES,Encounter.diagnosis.rank
hcpsevents,short_description,Encounter.type.coding.display,NO,Encounter.type.text,NO,Encounter.diagnosis.condition.note

icustays,subject_id,Encounter.subject.reference,YES,Encounter.subject,YES,Encounter.subject
icustays,hadm_id,Encounter.identifier.value,YES,Encounter.episodeOfCare,NO,Encounter.identifier
icustays,stay_id,Encounter.identifier.value,NO,Encounter.identifier,NO,Encounter.partOf
icustays,first_careunit,Encounter.location.location.display,YES,Encounter.location.location,YES,Encounter.location.location
icustays,last_careunit,Encounter.location.location.display,YES,Encounter.location.location,YES,Encounter.location.location
icustays,intime,Encounter.period.start,NO,Encounter.actualPeriod.start,YES,Encounter.actualPeriod.start
icustays,outtime,Encounter.period.end,NO,Encounter.actualPeriod.end,YES,Encounter.actualPeriod.end
icustays,los,Encounter.length.value,YES,Encounter.length,YES,Encounter.length

inputevents,subject_id,MedicationAdministration.subject.reference,YES,medicationadministration.subject,YES,medicationadministration.subject
inputevents,hadm_id,MedicationAdministration.encounter.reference,YES,medicationadministration.encounter,YES,medicationadministration.encounter
inputevents,stay_id,MedicationAdministration.encounter.reference,NO,medicationadministration.partOf,YES,medicationadministration.partOf
inputevents,starttime,MedicationAdministration.occurrenceDateTime,NO,MedicationAdministration.occurencePeriod.start,YES,MedicationAdministration.occurencePeriod.start
inputevents,endtime,MedicationAdministration.occurrencePeriod.end,YES,MedicationAdministration.occurencePeriod.end,YES,MedicationAdministration.occurencePeriod.end
inputevents,storetime,MedicationAdministration.recorded,NO,medicationadministration.recorded,NO,MedicationAdministration.eventHistory
