Tabla,attribute,Llama,CorrectLlama,GPT,CorrectGPT,TeoricalCorrect
admissions,subject_id,Encounter.subject,YES,Encounter.subject,YES,Encounter.subject
admissions,hadm_id,Encounter.identifier,YES,Encounter.identifier,YES,Encounter.identifier
admissions,admittime,Encounter.plannedStartDate,NO,Encounter.actualPeriod,NO,Encounter.admission.origin.period.start
admissions,dischtime,Encounter.plannedEndDate,NO,Encounter.actualPeriod,NO,Encounter.admission.destination.period.end
admissions,deathtime,Encounter.actualPeriod,NO,Encounter.admission.destination,YES,Encounter.admission.destination.period.end
admissions,admission_type,Encounter.admission.admitSource,YES,Encounter.admission.admitSource,YES,Encounter.admission.admitSource
admissions,admission_location,Encounter.admission.origin,NO,Encounter.admission.origin,NO,Encounter.admission.admitsource
admissions,discharge_location,Encounter.admission.destination,NO,Encounter.admission.destination,NO,Encounter.admission.dischargedisposition
admissions,insurance,Encounter.participant.actor,NO,Encounter.account,YES
admissions,language,Encounter.communication.language.coding.code,NO,No mapea,NO,Patient.language
admissions,marital_status,Encounter.martialStatus.language.coding.code,NO,No mapea,NO,Patient.maritalStatus
admissions,ethnicity,Encounter.extension.ethnicity,NO,No mapea,YES,No direct mapping
admissions,edregtime,Encounter.period.start,NO,Encounter.admission.preAdmissionIdentifier,NO,Encounter.location.period.start
admissions,edouttime,Encounter.period.end,NO,Encounter.admission.preAdmissionIdentifier,NO,Encounter.location.period.end
admissions,hospital_expire_flag,Encounter.hospital_expire_flag,NO,No mapea,YES,No direct mapping

d_items,itemid,Observation.identifier,YES,observation.identifier,YES,observation.identifier
d_items,label,Observation.code,YES,observation.code,YES,observation.code.text
d_items,abbreviation,observation.code,YES,observation.code,YES,observation.code.coding
d_items,linksto,Observation.partOf,YES,Observation.derivedFrom,NO,observation.partOf
d_items,category,Observation.category,YES,observation.category,NO,observation.code.text
d_items,unitname,Observation.unitname,NO,observation.value,YES,observation.valueQuantity.unit
d_items,param_type,Observation.value,YES,Observation.method,NO,observation.value
d_items,lownormalvalue,Observation.referenceRange.low,YES,observation.referenceRange.low,YES,observation.referenceRange.low
d_items,highnormalvalue,Observation.referenceRange.high,YES,observation.referenceRange.high,YES,observation.referenceRange.high
d_items,component_label,No mapea,NO,No mapea,NO,Observation.component.code.text
d_items,component_abbreviation,No mapea,NO,No mapea,NO,Observation.component.code.text
d_items,component_unitname,No mapea,NO,No mapea,NO,observation.component.valueQuantity.unit
d_items,component_lownormalvalue,No mapea,NO,No mapea,NO,observation.component.referenceRange.low
d_items,component_highnormalvalue,No mapea,NO,No mapea,NO,observation.component.referenceRange.high

datetimeevents,subject,Observation.identifier,YES,Observation.subject,YES,Observation.subject
datetimeevents,hadm_id,Observation.identifier,NO,Observation.encounter,YES,Observation.encounter
datetimeevents,stay_id,Observation.identifier,NO,Observation.encounter,NO,No direct mapping
datetimeevents,charttime,Observation.effective,YES,Observation.effective,YES,Observation.effectivedatetime
datetimeevents,storetime,Observation.issued,YES,Observation.issued,YES,Observation.issued
datetimeevents,itemid,Observation.code,YES,Observation.code,YES,Observation.code.coding.code
datetimeevents,value,Observation.value,YES,Observation.value,YES,Observation.valuedatetime
datetimeevents,valueuom,Observation.value,YES,Observation.value,YES,Observation.valuedatetime
datetimeevents,warning,Observation.dataAbsentReason,NO,Observation.interpretation,NO,No direct mapping

diagnoses_icd,subject_id,Condition.subject,YES,condition.subject,YES,condition.subject
diagnoses_icd,hadm_id,Condition.encounter,YES,condition.encounter,YES,condition.encounter
diagnoses_icd,seq_num,No mapea,NO,condition.identifier,YES,condition.identifier
diagnoses_icd,icd_code,Condition.code,YES,condition.code,YES,condition.code
diagnoses_icd,icd_version,Condition.category,NO,condition.code,NO,No direct mapping

emar,subject_id,MedicationAdministration.subject,YES,MedicationAdministration.subject,YES,MedicationAdministration.subject
emar,hadm_id,MedicationAdministration.encounter,YES,MedicationAdministration.encounter,YES,MedicationAdministration.encounter
emar,emar_id,MedicationAdministration.identifier,YES,MedicationAdministration.identifier,YES,MedicationAdministration.identifier
emar,emar_seq,No mapea,NO,MedicationAdministration.identifier,YES,MedicationAdministration.identifier
emar,poe_id,MedicationAdministration.request,NO,MedicationAdministration.request,NO,MedicationAdministration.partOf
emar,pharmacy_id,No mapea,NO,MedicationAdministration.device,NO,MedicationAdministration.medication.coding.code
emar,charttime,MedicationAdministration.occurence,YES,MedicationAdministration.occurence[x],YES,MedicationAdministration.occurencedatetime
emar,medication,MedicationAdministration.medication,YES,MedicationAdministration.medication,YES,MedicationAdministration.medication
emar,event_txt,MedicationAdministration.eventHistory,NO,MedicationAdministration.status,YES,MedicationAdministration.status
emar,scheduletime,No direct mapping,NO,MedicationAdministration.occurence[x],YES,MedicationAdministration.occurencedatetime
emar,storetime,MedicationAdministration.recorded,YES,MedicationAdministration.recorded,YES,MedicationAdministration.recorded

hcpsevents,subject_id,Encounter.subject,YES,Encounter.subject,YES,Encounter.subject
hcpsevents,hadm_id,Encounter.identifier,YES,Encounter.identifier,YES,Encounter.identifier
hcpsevents,hcpcs_cd,Encounter.type,NO,Encounter.reason.value,NO,Encounter.diagnosis
hcpsevents,seq_num,Encounter.priority,NO,Encounter.diagnosis.condition,NO,Encounter.diagnosis.rank
hcpsevents,short_description,Encounter.reason.use,NO,Encounter.reason.use,NO,Encounter.diagnosis.condition.note

icustays,subject_id,Encounter.subject,YES,Encounter.subject,YES,Encounter.subject
icustays,hadm_id,Encounter.identifier,YES,Encounter.episodeOfCare,NO,Encounter.identifier
icustays,stay_id,Encounter.identifier,NO,Encounter.identifier,NO,Encounter.partOf
icustays,first_careunit,Encounter.location.location,YES,Encounter.location.location,YES,Encounter.location.location
icustays,last_careunit,Encounter.location.location,YES,Encounter.location.location,YES,Encounter.location.location
icustays,intime,Encounter.location.period,NO,Encounter.actualPeriod,YES,Encounter.actualPeriod.start
icustays,outtime,Encounter.location.period,NO,Encounter.actualPeriod,YES,Encounter.actualPeriod.end
icustays,los,Encounter.length,YES,Encounter.length,YES,Encounter.length

inputevents,subject_id,MedicationAdministration.subject.reference,YES,medicationadministration.subject,YES,medicationadministration.subject
