attribute,Llama,GPT
subject_id,Encounter.subject,Encounter.subject
hadm_id,Encounter.identifier,Encounter.identifier
admittime,Encounter.plannedStartDate,Encounter.actualPeriod
dischtime,Encounter.plannedEndDate,Encounter.actualPeriod
deathtime,Encounter.actualPeriod,Encounter.admission.destination
admission_type,Encounter.admission.admitSource,Encounter.admission.admitSource
admission_location,Encounter.admission.origin,Encounter.admission.origin
discharge_location,Encounter.admission.destination,Encounter.admission.destination
insurance,Encounter.participant.actor,Encounter.account
language,Encounter.communication.language.coding.code,No mapea
marital_status,Encounter.martialStatus.language.coding.code,No mapea
ethnicity,Encounter.extension.ethnicity,No mapea
edregtime,Encounter.period.start,Encounter.admission.preAdmissionIdentifier
edouttime,Encounter.period.end,Encounter.admission.preAdmissionIdentifier
hospital_expire_flag,Encounter.hospital_expire_flag,No mapea
itemid,Observation.identifier,observation.identifier
label,Observation.code,observation.code
abbreviation,observation.code,observation.code
linksto,Observation.partOf,Observation.derivedFrom
category,Observation.category,observation.category
unitname,Observation.unitname,observation.value
param_type,Observation.value,Observation.method
lownormalvalue,Observation.referenceRange.low,observation.referenceRange.low
highnormalvalue,Observation.referenceRange.high,observation.referenceRange.high
component_label,No mapea,No mapea
component_abbreviation,No mapea,No mapea
component_unitname,No mapea,No mapea
component_lownormalvalue,No mapea,No mapea
component_highnormalvalue,No mapea,No mapea
subject,Observation.identifier,Observation.subject
hadm_id,Observation.identifier,Observation.encounter
stay_id,Observation.identifier,Observation.encounter
charttime,Observation.effective,Observation.effective
storetime,Observation.issued,Observation.issued
itemid,Observation.code,Observation.code
value,Observation.value,Observation.value
valueuom,Observation.value,Observation.value
warning,Observation.dataAbsentReason,Observation.interpretation
subject_id,Condition.subject,condition.subject
hadm_id,Condition.encounter,condition.encounter
seq_num,No mapea,condition.identifier
icd_code,Condition.code,condition.code
icd_version,Condition.category,condition.code
subject_id,MedicationAdministration.subject,MedicationAdministration.subject
hadm_id,MedicationAdministration.encounter,MedicationAdministration.encounter
emar_id,MedicationAdministration.identifier,MedicationAdministration.identifier
emar_seq,No mapea,MedicationAdministration.identifier
poe_id,MedicationAdministration.request,MedicationAdministration.request
pharmacy_id,No mapea,MedicationAdministration.device
charttime,MedicationAdministration.occurence,MedicationAdministration.occurence[x]
medication,MedicationAdministration.medication,MedicationAdministration.medication
event_txt,MedicationAdministration.eventHistory,MedicationAdministration.status
scheduletime,No direct mapping,MedicationAdministration.occurence[x]
storetime,MedicationAdministration.recorded,MedicationAdministration.recorded
subject_id,Encounter.subject,Encounter.subject
hadm_id,Encounter.identifier,Encounter.identifier
hcpcs_cd,Encounter.type,Encounter.reason.value
seq_num,Encounter.priority,Encounter.diagnosis.condition
short_description,Encounter.reason.use,Encounter.reason.use
subject_id,Encounter.subject,Encounter.subject
