attribute,Llama,GPT
ab_itemid,Observation.component.code,Observation.component.code
ab_name,Observation.component.code,Observation.component.code
abbreviation,observation.code,observation.code
admission_location,Encounter.admission.origin,Encounter.admission.origin
admission_type,Encounter.admission.admitSource,Encounter.admission.admitSource
admittime,Encounter.plannedStartDate,Encounter.actualPeriod
amount,MedicationAdministration.dosage.dose,MedicationAdministration.dosage.dose
amountuom,MedicationAdministration.dosage.dose,MedicationAdministration.dosage.dose
anchor_age,No mapea,Patient.birthDate
anchor_year,Patient.birthDate,Patient.birthDate
anchor_year_group,No mapea,Patient.birthDate
basal_rate,No mapea,MedicationDispense.dosageInstruction
cancelreason,Procedure.statusReason,Procedure.statusReason
careunit,Encounter.location.location,Encounter.location.location
category,Observation.category,observation.category
chartdate,Observation.effective,Observation.effective
chartdate,Procedure.occurence[x],No mapea
charttime,MedicationAdministration.occurence,MedicationAdministration.occurence[x]
charttime,Observation.effective,Observation.effective
charttime,Observation.effective,Observation.effective
charttime,Observation.effective,Observation.effective
comments_date,Procedure.note,Procedure.note
component_abbreviation,No mapea,No mapea
component_highnormalvalue,No mapea,No mapea
component_label,No mapea,No mapea
component_lownormalvalue,No mapea,No mapea
component_unitname,No mapea,No mapea
continueinnextdept,Procedure.used,Procedure.note
continueinnextdept,MedicationAdministration.statusReason,MedicationAdministration.note
curr_service,Encounter.link,Encounter.link.other
deathtime,Encounter.actualPeriod,Encounter.admission.destination
dilution_comparison,Observation.component.value,Observation.component.value
dilution_text,Observation.component.value,Observation.component.value
dilution_value,Observation.component.value,Observation.component.value
discharge_location,Encounter.admission.destination,Encounter.admission.destination
dischtime,Encounter.plannedEndDate,Encounter.actualPeriod
disp_sched,No mapea,MedicationDispense.dosageInstruction
dispensation,MedicationDispense.perfomer.actor,MedicationDispense.destination
dod,patient.deceased,patient.deceased
dose_unit_rx,MedicationRequest.dosageInstruction,MedicationRequest.dosageInstruction
dose_val_rx,MedicationRequest.dosageInstruction,MedicationRequest.dosageInstruction
doses_per_24_hrs,No mapea,MedicationDispense.dosageInstruction
drug,MedicationRequest.medication,MedicationRequest.medication
drug_name_generic,MedicationRequest.medication,MedicationRequest.medication
drug_name_poe,MedicationRequest.medication,MedicationRequest.medication
drug_type,MedicationRequest.medication,MedicationRequest.category
duration,No mapea,MedicationDispense.dosageInstruction
duration_interval,No mapea,MedicationDispense.dosageInstruction
edouttime,Encounter.period.end,Encounter.admission.preAdmissionIdentifier
edregtime,Encounter.period.start,Encounter.admission.preAdmissionIdentifier
emar_id,MedicationAdministration.identifier,MedicationAdministration.identifier
emar_seq,No mapea,MedicationAdministration.identifier
enddate,MedicationRequest.statusChanged,MedicationRequest.dispenseRequest.validityPeriod
endtime,Procedure.occurence,Procedure.occurence
endtime,MedicationAdministration.occurrence,MedicationAdministration.occurence
entertime,MedicationDispense.recorded,MedicationDispense.recorded
ethnicity,Encounter.extension.ethnicity,No mapea
event_txt,MedicationAdministration.eventHistory,MedicationAdministration.status
eventtype,Encounter.admission.origin,Encounter.admission.admitSource
expiration_unit,No mapea,MedicationDispense.note
expiration_value,No mapea,MedicationDispense.note
expirationdate,No mapea,MedicationDispense.note
fill_quantity,MedicationDispense.quantity,MedicationDispense.quantity
first_careunit,Encounter.location.location,Encounter.location.location
form_unit_disp,MedicationRequest.dosageInstruction,MedicationRequest.dosageInstruction
form_val_disp,MedicationRequest.dosageInstruction,MedicationRequest.dispenseRequest.quantity
formulary_drug_cd,MedicationRequest.medication,MedicationRequest.medication
frequency,MedicationDispense.dosageInstruction,MedicationDispense.dosageInstruction
gender,Patient.gender,patient.gender
gsn,MedicationRequest.medication,MedicationRequest.identifier
hadm_id,Procedure.identifier,Procedure.encounter
hadm_id,Condition.encounter,condition.encounter
hadm_id,Observation.identfier,Observation.encounter
hadm_id,Encounter.identifier,Encounter.admission.preAdmissionIdentifier
hadm_id,Encounter.identifier,Encounter.episodeOfCare
hadm_id,MedicationAdministration.identfier,medicationadministration.encounter
hadm_id,MedicationDispense.encounter,MedicationDispense.encounter
hadm_id,MedicationAdministration.encounter,MedicationAdministration.encounter
hadm_id,Procedure.encounter,Procedure.encounter
hadm_id,Encounter.identifier,Encounter.identifier
hadm_id,Encounter.identifier,Encounter.identifier
hadm_id,MedicationRequest.identifier,MedicationRequest.encounter
hadm_id,Encounter.identifier,Encounter.identifier
hadm_id,Observation.instantiates,Observation.encounter
hcpcs_cd,Encounter.type,Encounter.reason.value
highnormalvalue,Observation.referenceRange.high,observation.referenceRange.high
hospital_expire_flag,Encounter.hospital_expire_flag,No mapea
icd_code,Procedure.code,Procedure.code
icd_code,Condition.code,condition.code
icd_version,Condition.category,condition.code
icd_version,No mapea,Procedure.note
icustay_id,MedicationRequest.identifier,MedicationRequest.encounter
infusion_type,No mapea,MedicationDispense.dosageInstruction
insurance,Encounter.participant.actor,Encounter.account
interpretation,Observation.interpretation,Observation.component.interpretation
intime,Encounter.location.period,Encounter.actualPeriod
intime,Encounter.location.period.start,Encounter.location.period
