Tabla,attribute,Llama,CorrectLlama,GPT,CorrectGPT,TeoricalCorrect
admissions,subject_id,Encounter.subject.reference,YES,Encounter.subject,YES
admissions,hadm_id,Encounter.identifier.value,YES,Encounter.identifier,YES
admissions,admittime,Encounter.period.start,NO,Encounter.actualPeriod.start,NO,Encounter.admission.origin.period.start
admissions,dischtime,Encounter.period.end,NO,Encounter.actualPeriod.end,NO,Encounter.admission.destination.period.end
admissions,deathtime,Encounter.extension,NO,Encounter.status,NO,Encounter.admission.destination.period.end
admissions,admission_type,Encounter.extension,NO,Encounter.admission.admitSource,YES,Encounter.admission.admitSource
admissions,admission_location,Encounter.extension,NO,Encounter.admission.origin,NO,Encounter.admission.admitsource
admissions,discharge_location,Encounter.extension,NO,Encounter.admission.destination,NO,Encounter.admission.dischargedisposition
admissions,insurance,Encounter.extension,NO,Encounter.account,YES,Encounter.account
admissions,language,Encounter.extension,NO,Encounter.language,NO,Patient.language
admissions,marital_status,Encounter.extension,NO,Encounter.extension,NO,Patient.maritalStatus
admissions,ethnicity,Encounter.extension,NO,Encounter.extension,NO,No direct mapping
admissions,edregtime,Encounter.extension,NO,Encounter.extension,NO,Encounter.location.period.start
admissions,edouttime,Encounter.extension,NO,Encounter.extension,NO,Encounter.location.period.end
admissions,hospital_expire_flag,Encounter.extension,NO,Encounter.status,NO,No direct mapping
d_items,itemid,Observation.identifier.value,YES,observation.identifier,YES,observation.identifier
d_items,label,Observation.code.coding.display,YES,observation.code.text,YES,observation.code.text
d_items,abbreviation,Observation.code.coding.display,YES,observation.code.coding.code,YES,observation.code.coding
d_items,linksto,Observation.derivedFrom.reference,NO,Observation.basedOn,YES,Observation.basedOn
d_items,category,Observation.category.coding.code,YES,observation.category.text,YES,observation.category.text
d_items,unitname,Observation.valueQuantity.unit,YES,observation.valueQuantity.code,NO,Observation.valueQuantity.unit
d_items,param_type,Observation.valueQuantity.code,YES,No mapea,No,Observation.valueQuantity.code
d_items,lownormalvalue,Observation.referenceRange.low.value,YES,observation.referenceRange.low,YES,observation.referenceRange.low
d_items,highnormalvalue,Observation.referenceRange.high.value,YES,observation.referenceRange.high,YES,observation.referenceRange.high
d_items,component_label,No mapea,NO,No mapea,NO,Observation.component.code.text
d_items,component_abbreviation,No mapea,NO,No mapea,NO,Observation.component.code.text
d_items,component_unitname,No mapea,NO,No mapea,NO,Observation.component.code.text
d_items,component_lownormalvalue,No mapea,NO,No mapea,NO,Observation.component.code.text
d_items,component_highnormalvalue,No mapea,NO,No mapea,NO,Observation.component.code.text
datetimeevents,subject,Observation.subject.reference,YES,Observation.subject,YES,Observation.subject
datetimeevents,hadm_id,Observation.encounter.extension,NO,Observation.encounter,YES,Observation.encounter
datetimeevents,stay_id,Encounter.encounter.extension,NO,Observation.encounter,NO,No direct mapping
datetimeevents,charttime,Observation.effectiveDateTime,YES,Observation.effectiveDateTime,YES,Observation.effectiveDateTime
datetimeevents,storetime,Observation.issued,YES,Observation.issued,YES,Observation.issued
datetimeevents,itemid,Observation.code.coding.code,YES,Observation.code,YES,Observation.code.coding.code
datetimeevents,value,Observation.value,YES,Observation.valueDateTime,YES,Observation.valuedatetime
datetimeevents,valueuom,Observation.valueQuantity.unit,NO,Observation.valueCodeableConcept,NO,Observation.valuedatetime
datetimeevents,warning,Observation.interpretation.coding[0].code,NO,Observation.dataAbsentReason,NO,No direct mapping
diagnoses_icd,subject_id,Condition.subject.reference,YES,condition.subject,YES,condition.subject
diagnoses_icd,hadm_id,Condition.encounter.reference,YES,condition.encounter,YES,condition.subject
diagnoses_icd,seq_num,Condition.extension.valueInteger,NO,condition.identifier,YES,condition.subject
diagnoses_icd,icd_code,Condition.code.coding.code,YES,condition.code,YES,condition.subject
diagnoses_icd,icd_version,Condition.code.coding.system,NO,condition.code,NO,No direct mapping

emar,subject_id,MedicationAdministration.subject.reference,YES,MedicationAdministration.subject,YES,MedicationAdministration.subject
emar,hadm_id,MedicationAdministration.encounter.reference,YES,MedicationAdministration.encounter,YES,MedicationAdministration.encounter
emar,emar_id,MedicationAdministration.identifier.value,YES,MedicationAdministration.identifier,YES,MedicationAdministration.identifier
